600 106 107820 60.0 395 322
244 1
353 2
296 1
190 2
465 3
476 2
319 3
42 3
122 4
472 5
148 6
318 3
16 4
450 5
176 3
415 6
347 7
423 5
168 4
462 8
97 2
243 5
567 7
354 8
481 2
28 7
486 9
145 7
68 9
30 10
591 10
206 8
13 10
115 11
113 6
3 12
58 11
41 12
474 9
361 12
502 6
127 13
412 14
521 1
274 13
163 1
78 11
308 12
312 4
579 15
542 16
152 16
553 2
147 13
134 17
512 18
426 14
245 8
194 8
284 11
232 15
195 15
123 7
207 2
69 14
309 18
246 12
262 7
445 14
570 6
501 17
135 8
491 14
369 19
59 10
389 16
179 20
251 9
130 20
561 5
337 1
65 17
66 21
522 12
577 19
583 18
263 21
187 17
235 10
280 17
304 21
470 19
185 4
153 9
563 7
295 4
96 18
202 16
67 20
330 14
191 22
166 22
63 21
252 1
71 15
132 23
88 8
400 20
393 24
362 11
298 3
565 22
1 21
275 25
12 13
289 24
391 23
247 24
209 22
131 22
305 26
443 23
374 20
539 19
401 26
528 26
121 17
196 13
487 26
76 15
14 27
200 25
568 25
562 28
92 27
192 15
91 27
490 9
327 29
545 30
503 28
98 31
142 30
222 27
377 5
110 16
2 30
584 31
384 6
467 5
107 18
237 30
349 4
269 29
203 28
62 32
364 32
126 19
137 22
86 33
357 32
294 23
339 6
419 34
217 31
597 26
48 33
164 16
267 25
72 29
466 27
111 35
566 36
279 24
586 32
205 18
429 32
198 34
201 34
549 37
324 33
139 19
231 22
117 38
363 20
250 5
33 9
129 27
242 35
317 32
558 39
437 17
10 31
9 36
557 37
229 40
519 40
84 1
234 11
61 39
230 30
517 38
448 1
50 40
372 26
233 35
508 25
440 41
359 42
253 37
396 37
74 15
326 35
552 34
573 42
436 43
493 18
399 23
287 43
31 41
89 44
118 43
376 5
218 36
273 36
87 35
272 31
497 44
498 28
49 33
271 41
381 38
140 45
543 45
57 36
180 46
479 12
410 47
432 44
329 42
90 29
431 37
379 24
120 31
268 36
0 38
550 45
427 47
560 46
342 48
463 43
425 47
215 46
447 49
106 42
211 7
525 50
513 50
144 38
21 42
238 44
378 39
459 49
311 46
265 51
288 45
587 48
310 43
449 47
515 49
544 52
18 48
236 52
60 51
108 53
216 53
170 48
256 40
435 51
75 10
504 54
161 50
405 33
306 55
397 41
510 42
257 54
37 56
594 53
500 52
150 34
307 42
541 56
414 54
392 53
403 55
556 13
473 54
444 57
103 56
547 39
227 50
442 2
433 28
260 53
249 55
165 44
495 55
6 48
340 13
157 7
511 39
468 52
336 57
527 58
434 40
338 45
523 30
141 56
29 58
320 57
526 37
162 32
532 51
73 38
346 59
335 58
11 59
458 6
136 25
489 59
395 52
47 60
225 60
548 44
292 45
596 55
540 61
534 49
52 47
452 8
214 61
398 58
188 62
368 63
488 21
580 64
328 63
254 16
303 54
109 26
537 63
116 62
181 39
301 65
411 66
390 47
551 64
149 65
535 42
456 57
482 67
564 60
27 51
314 45
155 59
413 66
183 61
333 62
424 56
322 68
104 62
79 61
538 68
282 49
388 69
589 58
453 62
300 68
125 46
264 67
439 59
290 65
186 64
409 69
430 70
417 67
5 29
26 60
208 70
171 49
592 66
595 71
101 33
169 41
25 72
518 40
455 69
496 73
24 64
241 71
278 64
54 74
266 71
83 63
4 66
516 73
375 75
484 72
119 35
345 65
213 74
189 75
55 75
64 76
77 70
182 77
420 73
283 3
313 39
146 77
407 70
17 76
480 78
569 10
574 23
514 72
159 21
204 79
19 79
438 80
404 80
471 24
406 36
382 78
416 81
23 11
45 35
112 78
286 81
343 79
239 46
95 10
478 80
15 56
554 6
321 13
93 73
371 11
38 82
351 60
297 65
138 9
85 49
174 83
356 82
177 82
469 18
285 84
255 77
323 67
248 72
509 69
494 29
366 76
99 64
299 70
35 71
418 83
53 61
167 74
367 76
555 73
546 84
331 51
428 85
529 83
46 67
358 84
124 81
281 84
210 60
158 74
173 43
302 85
593 67
154 86
332 87
8 20
460 88
581 88
441 69
39 68
223 82
100 89
261 86
386 79
51 55
387 90
520 80
531 91
276 57
70 71
373 35
40 86
224 90
383 92
485 53
598 87
143 63
34 93
43 89
575 79
344 86
128 76
341 92
451 75
199 94
228 77
219 78
533 88
94 22
114 85
370 93
505 85
32 89
576 85
172 73
599 87
408 81
44 81
259 95
360 48
492 91
178 65
184 88
394 86
457 68
477 87
220 70
507 82
571 77
82 90
56 92
175 93
105 65
422 68
277 50
585 28
454 96
475 87
240 94
352 61
133 28
151 97
536 83
193 95
559 91
7 55
316 92
483 88
385 96
506 90
461 98
524 96
446 95
402 99
499 72
590 98
36 93
365 46
348 100
258 98
221 99
160 97
464 101
315 100
293 99
421 101
102 97
226 102
212 57
81 96
350 69
530 103
197 87
334 34
22 104
572 94
355 75
582 102
325 105
380 95
578 105
270 30
80 100
156 104
20 97
588 104
291 106
